"equipo","modelo","modelado","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"MIA","modelo_2","no_profunda",0.3,0.3,"NA",0.05,20,0.659803921568627,0.755970149253731,0.475714285714286,0.744852941176471,0.734057971014493
"MIA","modelo_2","profunda",0.6,0.5,"0.6",0.01,20,0.674509803921569,0.767164179104478,0.497142857142857,0.755882352941176,0.744927536231884
"MIA","modelo_3","no_profunda",0.2,0.4,"NA",0.02,10,0.684313725490196,0.774626865671642,0.511428571428571,0.763235294117647,0.752173913043478
"MIA","modelo_3","profunda",0.3,0.4,"0.2",0.02,20,0.687254901960784,0.776865671641791,0.515714285714286,0.765441176470588,0.754347826086956
"MIA","modelo_4","no_profunda",0.6,0.3,"NA",0.05,40,0.706862745098039,0.791791044776119,0.544285714285714,0.780147058823529,0.768840579710145
"MIA","modelo_4","profunda",0.5,0.2,"0.6",0.03,20,0.715686274509804,0.798507462686567,0.557142857142857,0.786764705882353,0.77536231884058
"NYJ","modelo_1","no_profunda",0.2,0.5,"NA",0.01,20,0.645794392523364,0.721323529411765,0.514102564102564,0.721323529411765,0.721323529411765
"NYJ","modelo_1","profunda",0.4,0.2,"0.2",0.03,60,0.678504672897196,0.747058823529412,0.558974358974359,0.747058823529412,0.747058823529412
"NYJ","modelo_2","no_profunda",0.5,0.6,"NA",0.01,40,0.696261682242991,0.761029411764706,0.583333333333333,0.761029411764706,0.761029411764706
"NYJ","modelo_2","profunda",0.6,0.3,"0.6",0.02,40,0.676635514018692,0.745588235294118,0.556410256410256,0.745588235294118,0.745588235294118
"NYJ","modelo_3","no_profunda",0.2,0.4,"NA",0.01,10,0.702803738317757,0.766176470588235,0.592307692307692,0.766176470588235,0.766176470588235
"NYJ","modelo_3","profunda",0.2,0.4,"0.2",0.02,20,0.698130841121495,0.7625,0.585897435897436,0.7625,0.7625
"NYJ","modelo_4","no_profunda",0.2,0.2,"NA",0.01,10,0.661682242990654,0.733823529411765,0.535897435897436,0.733823529411765,0.733823529411765
"NYJ","modelo_4","profunda",0.3,0.2,"0.6",0.02,60,0.689719626168224,0.755882352941176,0.574358974358974,0.755882352941177,0.755882352941176
"WAS","modelo_1","no_profunda",0.3,0.2,"NA",0.05,10,0.641071428571429,0.716901408450704,0.509756097560976,0.716901408450704,0.716901408450704
"WAS","modelo_1","profunda",0.3,0.6,"0.5",0.01,20,0.646428571428571,0.72112676056338,0.517073170731707,0.72112676056338,0.72112676056338
"WAS","modelo_2","no_profunda",0.5,0.3,"NA",0.06,60,0.654464285714286,0.727464788732394,0.528048780487805,0.727464788732394,0.727464788732394
"WAS","modelo_2","profunda",0.6,0.6,"0.3",0.02,20,0.684821428571429,0.751408450704225,0.569512195121951,0.751408450704225,0.751408450704225
"WAS","modelo_3","no_profunda",0.4,0.2,"NA",0.03,40,0.738392857142857,0.793661971830986,0.642682926829268,0.793661971830986,0.793661971830986
"WAS","modelo_3","profunda",0.3,0.3,"0.3",0.01,60,0.749107142857143,0.802112676056338,0.657317073170732,0.802112676056338,0.802112676056338
"WAS","modelo_4","no_profunda",0.5,0.6,"NA",0.02,10,0.760714285714286,0.811267605633803,0.673170731707317,0.811267605633803,0.811267605633803
"WAS","modelo_4","profunda",0.6,0.5,"0.6",0.03,20,0.745535714285714,0.799295774647887,0.652439024390244,0.799295774647887,0.799295774647887
"ARI","modelo_1","no_profunda",0.4,0.4,"NA",0.05,60,0.636607142857143,0.738513513513513,0.438157894736842,0.728666666666667,0.719078947368421
"ARI","modelo_1","profunda",0.3,0.6,"0.3",0.05,60,0.622321428571429,0.727702702702703,0.417105263157895,0.718,0.708552631578947
"ARI","modelo_2","no_profunda",0.4,0.2,"NA",0.05,40,0.655357142857143,0.752702702702703,0.465789473684211,0.742666666666667,0.732894736842105
"ARI","modelo_2","profunda",0.3,0.2,"0.3",0.02,20,0.653571428571429,0.751351351351351,0.463157894736842,0.741333333333333,0.731578947368421
"ARI","modelo_3","no_profunda",0.5,0.5,"NA",0.02,20,0.702678571428571,0.788513513513514,0.535526315789474,0.778,0.767763157894737
"ARI","modelo_3","profunda",0.2,0.2,"0.2",0.02,20,0.7,0.786486486486486,0.531578947368421,0.776,0.765789473684211
"ARI","modelo_4","no_profunda",0.2,0.3,"NA",0.02,20,0.695535714285714,0.783108108108108,0.525,0.772666666666667,0.7625
"ARI","modelo_4","profunda",0.2,0.4,"0.4",0.03,60,0.708035714285714,0.792567567567568,0.543421052631579,0.782,0.77171052631579
"LAC","modelo_1","no_profunda",0.2,0.2,"NA",0.01,60,0.635353535353535,0.734558823529412,0.417741935483871,0.734558823529412,0.734558823529412
"LAC","modelo_1","profunda",0.2,0.3,"0.6",0.06,40,0.587878787878788,0.7,0.341935483870968,0.7,0.7
"LAC","modelo_2","no_profunda",0.2,0.2,"NA",0.02,40,0.629292929292929,0.730147058823529,0.408064516129032,0.730147058823529,0.730147058823529
"LAC","modelo_2","profunda",0.3,0.6,"0.3",0.03,40,0.647474747474747,0.743382352941176,0.437096774193548,0.743382352941176,0.743382352941176
"LAC","modelo_3","no_profunda",0.4,0.3,"NA",0.01,20,0.762626262626263,0.827205882352941,0.620967741935484,0.827205882352941,0.827205882352941
"LAC","modelo_3","profunda",0.5,0.6,"0.5",0.01,10,0.754545454545455,0.821323529411765,0.608064516129032,0.821323529411765,0.821323529411765
"LAC","modelo_4","no_profunda",0.3,0.2,"NA",0.06,20,0.757575757575758,0.823529411764706,0.612903225806452,0.823529411764706,0.823529411764706
"LAC","modelo_4","profunda",0.4,0.3,"0.4",0.03,10,0.738383838383838,0.809558823529412,0.582258064516129,0.809558823529412,0.809558823529412
"MIN","modelo_1","no_profunda",0.6,0.4,"NA",0.06,20,0.568421052631579,0.663934426229508,0.397058823529412,0.663934426229508,0.663934426229508
"MIN","modelo_1","profunda",0.6,0.3,"0.4",0.05,60,0.562105263157895,0.659016393442623,0.388235294117647,0.659016393442623,0.659016393442623
"MIN","modelo_2","no_profunda",0.5,0.4,"NA",0.02,20,0.651578947368421,0.728688524590164,0.513235294117647,0.728688524590164,0.728688524590164
"MIN","modelo_2","profunda",0.2,0.4,"0.3",0.03,20,0.642105263157895,0.721311475409836,0.5,0.721311475409836,0.721311475409836
"MIN","modelo_3","no_profunda",0.3,0.6,"NA",0.06,20,0.682105263157895,0.752459016393443,0.555882352941176,0.752459016393443,0.752459016393443
"MIN","modelo_3","profunda",0.2,0.2,"0.6",0.05,10,0.643157894736842,0.722131147540984,0.501470588235294,0.722131147540984,0.722131147540984
"MIN","modelo_4","no_profunda",0.3,0.4,"NA",0.03,60,0.662105263157895,0.736885245901639,0.527941176470588,0.736885245901639,0.736885245901639
"MIN","modelo_4","profunda",0.2,0.3,"0.6",0.02,10,0.682105263157895,0.752459016393443,0.555882352941176,0.752459016393443,0.752459016393443
"TEN","modelo_1","no_profunda",0.3,0.2,"NA",0.1,40,0.560975609756098,0.473684210526316,0.636363636363636,0.5,0.529411764705882
"TEN","modelo_1","profunda",0.2,0.4,"0.3",0.03,10,0.537804878048781,0.448684210526316,0.614772727272727,0.473611111111111,0.501470588235294
"TEN","modelo_2","no_profunda",0.4,0.5,"NA",0.02,10,0.636585365853659,0.555263157894737,0.706818181818182,0.586111111111111,0.620588235294118
"TEN","modelo_2","profunda",0.2,0.3,"0.5",0.03,10,0.628048780487805,0.546052631578947,0.698863636363636,0.576388888888889,0.610294117647059
"TEN","modelo_3","no_profunda",0.2,0.3,"NA",0.05,20,0.632926829268293,0.551315789473684,0.703409090909091,0.581944444444444,0.616176470588235
"TEN","modelo_3","profunda",0.3,0.5,"0.4",0.01,60,0.642682926829268,0.561842105263158,0.7125,0.593055555555556,0.627941176470588
"TEN","modelo_4","no_profunda",0.3,0.3,"NA",0.06,40,0.620731707317073,0.538157894736842,0.692045454545455,0.568055555555556,0.601470588235294
"TEN","modelo_4","profunda",0.3,0.3,"0.2",0.06,40,0.642682926829268,0.561842105263158,0.7125,0.593055555555556,0.627941176470588
"DAL","modelo_1","no_profunda",0.5,0.3,"NA",0.01,10,0.620454545454545,0.683333333333333,0.545,0.662626262626263,0.643137254901961
"DAL","modelo_1","profunda",0.4,0.2,"0.3",0.06,40,0.625,0.6875,0.55,0.666666666666667,0.647058823529412
"DAL","modelo_2","no_profunda",0.2,0.3,"NA",0.03,20,0.681818181818182,0.739583333333333,0.6125,0.717171717171717,0.696078431372549
"DAL","modelo_2","profunda",0.3,0.3,"0.2",0.05,40,0.6125,0.676041666666667,0.53625,0.655555555555556,0.636274509803922
"DAL","modelo_3","no_profunda",0.5,0.2,"NA",0.05,60,0.656818181818182,0.716666666666667,0.585,0.694949494949495,0.674509803921569
"DAL","modelo_3","profunda",0.6,0.3,"0.4",0.02,40,0.697727272727273,0.754166666666667,0.63,0.731313131313131,0.709803921568627
"DAL","modelo_4","no_profunda",0.6,0.2,"NA",0.03,60,0.707954545454546,0.763541666666667,0.64125,0.74040404040404,0.718627450980392
"DAL","modelo_4","profunda",0.6,0.4,"0.3",0.05,10,0.671590909090909,0.730208333333333,0.60125,0.708080808080808,0.687254901960784
"SEA","modelo_1","no_profunda",0.3,0.3,"NA",0.02,20,0.602222222222222,0.72,0.417142857142857,0.688695652173913,0.66
"SEA","modelo_1","profunda",0.4,0.4,"0.2",0.05,40,0.556666666666667,0.682727272727273,0.358571428571429,0.65304347826087,0.625833333333333
