"","equipos","metrica","comparacion_a","comparacion_b","comparacion","metrica_a","metrica_b","p_value","skewness"
"121","TEN","precision","profunda_modelo_3","modelo_2_defecto","profunda_modelo_3_modelo_2_defecto",0.561842105263158,0.710526315789474,8.52696564468576e-05,-0.736811485807666
"122","TEN","precision","profunda_modelo_3","azar","profunda_modelo_3_azar",0.561842105263158,0.457894736842105,0.000211878398283111,0.333551966854512
"123","TEN","precision","modelo_2_defecto","azar","modelo_2_defecto_azar",0.710526315789474,0.457894736842105,8.97891126822368e-05,0.329477322958379
"124","TEN","precision_secundaria","profunda_modelo_3","modelo_2_defecto","profunda_modelo_3_modelo_2_defecto",0.7125,0.75,0.000411639876073075,-0.7368114858077
"125","TEN","precision_secundaria","profunda_modelo_3","azar","profunda_modelo_3_azar",0.7125,0.531818181818182,9.35602968823918e-05,0.333551966854511
"126","TEN","precision_secundaria","modelo_2_defecto","azar","modelo_2_defecto_azar",0.75,0.531818181818182,8.97891126822368e-05,0.329477322958374
"127","DAL","exactitud","no_profunda_modelo_4","modelo_3_bayesiana","no_profunda_modelo_4_modelo_3_bayesiana",0.707954545454546,0.660227272727273,0.000106735492648631,0.251436247621771
"128","DAL","exactitud","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.707954545454546,0.511363636363636,9.40897447807637e-05,0.506377894404243
"129","DAL","exactitud","modelo_3_bayesiana","azar","modelo_3_bayesiana_azar",0.660227272727273,0.511363636363636,0.000138191719229521,0.0260591227518395
"130","DAL","precision","no_profunda_modelo_4","modelo_3_bayesiana","no_profunda_modelo_4_modelo_3_bayesiana",0.763541666666667,0.688541666666667,9.10762267356984e-05,0.251436247621768
"131","DAL","precision","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.763541666666667,0.552083333333333,9.36924464046361e-05,0.506377894404236
"132","DAL","precision","modelo_3_bayesiana","azar","modelo_3_bayesiana_azar",0.688541666666667,0.552083333333333,0.000130347455516652,0.0260591227518391
"133","DAL","precision_secundaria","no_profunda_modelo_4","modelo_3_bayesiana","no_profunda_modelo_4_modelo_3_bayesiana",0.64125,0.62625,0.129291443263918,0.251436247621768
"134","DAL","precision_secundaria","no_profunda_modelo_4","azar","no_profunda_modelo_4_azar",0.64125,0.4625,9.34282888349226e-05,0.50637789440424
"135","DAL","precision_secundaria","modelo_3_bayesiana","azar","modelo_3_bayesiana_azar",0.62625,0.4625,0.000134332739940524,0.0260591227518391
"136","SEA","exactitud","profunda_modelo_3","modelo_2_bayesiana","profunda_modelo_3_modelo_2_bayesiana",0.652222222222222,0.681111111111111,0.00323208730173251,-0.461603811881349
"137","SEA","exactitud","profunda_modelo_3","azar","profunda_modelo_3_azar",0.652222222222222,0.527777777777778,9.38247374977226e-05,0.553630444210067
"138","SEA","exactitud","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.681111111111111,0.527777777777778,9.44883198891393e-05,-0.0107666991251271
"139","SEA","precision","profunda_modelo_3","modelo_2_bayesiana","profunda_modelo_3_modelo_2_bayesiana",0.760909090909091,0.739090909090909,0.00165531492153789,-0.461603811881349
"140","SEA","precision","profunda_modelo_3","azar","profunda_modelo_3_azar",0.760909090909091,0.613636363636364,9.48881743254824e-05,0.553630444210066
"141","SEA","precision","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.739090909090909,0.613636363636364,9.44883198891393e-05,-0.0107666991251272
"142","SEA","precision_secundaria","profunda_modelo_3","modelo_2_bayesiana","profunda_modelo_3_modelo_2_bayesiana",0.481428571428571,0.59,8.92781558822508e-05,-0.461603811881343
"143","SEA","precision_secundaria","profunda_modelo_3","azar","profunda_modelo_3_azar",0.481428571428571,0.392857142857143,0.000316717096483513,0.553630444210061
"144","SEA","precision_secundaria","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.59,0.392857142857143,9.46214624254854e-05,-0.0107666991251281
"145","KC","exactitud","no_profunda_modelo_3","modelo_2_defecto","no_profunda_modelo_3_modelo_2_defecto",0.782692307692308,0.788461538461538,0.954924901104537,-0.36430206673503
"146","KC","exactitud","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.782692307692308,0.589423076923077,9.42224611629232e-05,0.0327567690942811
"147","KC","exactitud","modelo_2_defecto","azar","modelo_2_defecto_azar",0.788461538461538,0.589423076923077,9.10762267356984e-05,-0.268277415262237
"148","KC","precision","no_profunda_modelo_3","modelo_2_defecto","no_profunda_modelo_3_modelo_2_defecto",0.824657534246575,0.849315068493151,0.000177729836250273,-0.364302066735005
"149","KC","precision","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.824657534246575,0.707534246575342,9.46214624254854e-05,0.0327567690942943
"150","KC","precision","modelo_2_defecto","azar","modelo_2_defecto_azar",0.849315068493151,0.707534246575342,9.10762267356984e-05,-0.268277415262229
"151","KC","precision_secundaria","no_profunda_modelo_3","modelo_2_defecto","no_profunda_modelo_3_modelo_2_defecto",0.683870967741936,0.645161290322581,0.00140769854043717,-0.364302066735006
"152","KC","precision_secundaria","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.683870967741936,0.311290322580645,9.2377306023683e-05,0.0327567690942851
"153","KC","precision_secundaria","modelo_2_defecto","azar","modelo_2_defecto_azar",0.645161290322581,0.311290322580645,9.10762267356984e-05,-0.268277415262239
"154","BAL","exactitud","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.78019801980198,0.777227722772277,0.703071782741207,0.152689582583268
"155","BAL","exactitud","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.78019801980198,0.51980198019802,9.48881743254824e-05,-0.337644380049021
"156","BAL","exactitud","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.777227722772277,0.51980198019802,9.03022886043167e-05,-0.0114100548871088
"157","BAL","precision","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.810714285714286,0.799107142857143,0.0607629134292577,0.152689582583262
"158","BAL","precision","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.810714285714286,0.566964285714286,9.50217438815064e-05,-0.337644380049005
"159","BAL","precision","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.799107142857143,0.566964285714286,9.04309300400769e-05,-0.0114100548870958
"160","BAL","precision_secundaria","no_profunda_modelo_3","modelo_2_bayesiana","no_profunda_modelo_3_modelo_2_bayesiana",0.742222222222222,0.75,0.19197060347355,0.152689582583273
"161","BAL","precision_secundaria","no_profunda_modelo_3","azar","no_profunda_modelo_3_azar",0.742222222222222,0.461111111111111,9.54233081282114e-05,-0.337644380049028
"162","BAL","precision_secundaria","modelo_2_bayesiana","azar","modelo_2_bayesiana_azar",0.75,0.461111111111111,9.36924464046361e-05,-0.0114100548871087
"163","CLE","exactitud","profunda_modelo_3","modelo_3_grid","profunda_modelo_3_modelo_3_grid",0.745544554455445,0.678217821782178,9.36924464046361e-05,0.294571975266043
"164","CLE","exactitud","profunda_modelo_3","azar","profunda_modelo_3_azar",0.745544554455445,0.488118811881188,9.51554559698195e-05,-0.068432278834822
"165","CLE","exactitud","modelo_3_grid","azar","modelo_3_grid_azar",0.678217821782178,0.488118811881188,9.52893106866428e-05,-0.00611899872044584
"166","CLE","precision","profunda_modelo_3","modelo_3_grid","profunda_modelo_3_modelo_3_grid",0.785849056603774,0.693396226415094,8.94056873742386e-05,0.294571975266064
"167","CLE","precision","profunda_modelo_3","azar","profunda_modelo_3_azar",0.785849056603774,0.512264150943396,9.47547472055397e-05,-0.0684322788348184
"168","CLE","precision","modelo_3_grid","azar","modelo_3_grid_azar",0.693396226415094,0.512264150943396,9.35602968823918e-05,-0.00611899872043512
"169","CLE","precision_secundaria","profunda_modelo_3","modelo_3_grid","profunda_modelo_3_modelo_3_grid",0.701041666666667,0.661458333333333,0.000995604317807376,0.294571975266053
"170","CLE","precision_secundaria","profunda_modelo_3","azar","profunda_modelo_3_azar",0.701041666666667,0.461458333333333,9.46214624254854e-05,-0.0684322788348236
"171","CLE","precision_secundaria","modelo_3_grid","azar","modelo_3_grid_azar",0.661458333333333,0.461458333333333,9.51554559698195e-05,-0.0061189987204415
"172","JAX","exactitud","profunda_modelo_2","modelo_2_grid","profunda_modelo_2_modelo_2_grid",0.76822429906542,0.790566037735849,0.0211998964014512,-0.0439085071586077
