"","equipo","metrica","modelo_red","modelado_red","modelo_lightgbm","optimizacion_lightgbm","metrica_red","metrica_lightgbm","metrica_azar","p.value"
"15","DAL","exactitud","modelo_4","no_profunda","modelo_3","bayesiana",0.707954545454546,0.660227272727273,0.511363636363636,9.56859236554934e-11
"16","SEA","exactitud","modelo_3","profunda","modelo_2","bayesiana",0.652222222222222,0.681111111111111,0.527777777777778,1.1851517950776e-10
"17","KC","exactitud","modelo_3","no_profunda","modelo_2","defecto",0.782692307692308,0.788461538461538,0.589423076923077,1.23716480372102e-09
"18","BAL","exactitud","modelo_3","no_profunda","modelo_2","bayesiana",0.78019801980198,0.777227722772277,0.51980198019802,2.03973394590208e-09
"19","CLE","exactitud","modelo_3","profunda","modelo_3","grid",0.745544554455446,0.678217821782178,0.488118811881188,6.60472582701766e-12
"20","JAX","exactitud","modelo_2","profunda","modelo_2","grid",0.768224299065421,0.790566037735849,0.512264150943396,3.50752294116118e-10
"21","NO","exactitud","modelo_3","profunda","modelo_3","grid",0.802777777777778,0.812037037037037,0.537037037037037,3.50538363795862e-10
"22","NYG","exactitud","modelo_3","no_profunda","modelo_4","grid",0.733695652173913,0.697826086956522,0.493478260869565,1.72976318128392e-11
"23","PIT","exactitud","modelo_2","no_profunda","modelo_3","grid",0.741052631578947,0.714736842105263,0.563157894736842,6.42965772114682e-11
"24","SF","exactitud","modelo_3","no_profunda","modelo_1","grid",0.852222222222222,0.713483146067416,0.489887640449438,2.05985388155062e-12
"25","DEN","exactitud","modelo_3","no_profunda","modelo_3","grid",0.741666666666667,0.730208333333333,0.529166666666667,8.35128219910057e-10
"26","LV","exactitud","modelo_4","no_profunda","modelo_1","bayesiana",0.704301075268817,0.76195652173913,0.530434782608696,4.97162679849553e-12
"27","GB","exactitud","modelo_2","profunda","modelo_2","grid",0.697222222222222,0.692592592592593,0.534259259259259,1.14352605134546e-09
"28","BUF","exactitud","modelo_4","no_profunda","modelo_3","bayesiana",0.630434782608696,0.694565217391304,0.572826086956522,2.97555947902525e-11
"29","PHI","exactitud","modelo_4","profunda","modelo_3","grid",0.671717171717172,0.729292929292929,0.526262626262626,2.79664292310221e-11
"30","IND","exactitud","modelo_4","profunda","modelo_2","bayesiana",0.721929824561404,0.699122807017544,0.550877192982456,3.79385774346884e-10
"31","NE","exactitud","modelo_4","no_profunda","modelo_1","grid",0.747572815533981,0.68921568627451,0.524509803921569,1.95798661203944e-12
"32","TB","exactitud","modelo_4","profunda","modelo_2","grid",0.760909090909091,0.777272727272727,0.561818181818182,2.70626400544902e-10
"33","LA","precision","modelo_3","no_profunda","modelo_2","bayesiana",0.772950819672131,0.748360655737705,0.651639344262295,7.55447810299466e-11
"34","ATL","precision","modelo_4","no_profunda","modelo_2","defecto",0.673404255319149,0.702127659574468,0.46063829787234,1.03001011381486e-10
"35","CAR","precision","modelo_4","no_profunda","modelo_4","bayesiana",0.746296296296296,0.683333333333333,0.591666666666667,3.75542224992373e-12
"36","CHI","precision","modelo_4","no_profunda","modelo_3","bayesiana",0.687755102040816,0.629166666666667,0.4875,7.36510535712085e-11
"37","CIN","precision","modelo_3","no_profunda","modelo_2","bayesiana",0.870422535211268,0.814084507042254,0.664084507042253,2.94426586033014e-12
"38","DET","precision","modelo_4","profunda","modelo_2","bayesiana",0.741964285714286,0.7375,0.59375,2.83024676061741e-09
"39","HOU","precision","modelo_3","no_profunda","modelo_2","grid",0.792307692307692,0.780769230769231,0.603846153846154,4.23884111212795e-10
"40","MIA","precision","modelo_4","profunda","modelo_3","grid",0.798507462686567,0.82089552238806,0.667164179104478,1.01560160423524e-10
"41","NYJ","precision","modelo_3","no_profunda","modelo_2","grid",0.766176470588235,0.827205882352941,0.635294117647059,2.25086694486749e-12
"42","WAS","precision","modelo_4","no_profunda","modelo_2","defecto",0.811267605633803,0.816901408450704,0.63169014084507,7.12516754441031e-10
"43","ARI","precision","modelo_4","profunda","modelo_3","bayesiana",0.792567567567568,0.742567567567568,0.665540540540541,5.00910590340265e-12
"44","LAC","precision","modelo_3","no_profunda","modelo_2","bayesiana",0.827205882352941,0.827941176470588,0.693382352941177,1.22680244348234e-09
"45","MIN","precision","modelo_3","no_profunda","modelo_3","bayesiana",0.752459016393443,0.740983606557377,0.649180327868852,3.76327458349035e-08
"46","TEN","precision","modelo_3","profunda","modelo_2","defecto",0.561842105263158,0.710526315789474,0.457894736842105,3.75838917458999e-12
"47","DAL","precision","modelo_4","no_profunda","modelo_3","bayesiana",0.763541666666667,0.688541666666667,0.552083333333333,6.69242191387082e-12
"48","SEA","precision","modelo_3","profunda","modelo_2","bayesiana",0.760909090909091,0.739090909090909,0.613636363636364,1.31698536087266e-10
"49","KC","precision","modelo_3","no_profunda","modelo_2","defecto",0.824657534246575,0.849315068493151,0.707534246575342,3.47795370033812e-12
"50","BAL","precision","modelo_3","no_profunda","modelo_2","bayesiana",0.810714285714286,0.799107142857143,0.566964285714286,4.23969294248698e-10
"51","CLE","precision","modelo_3","profunda","modelo_3","grid",0.785849056603774,0.693396226415094,0.512264150943396,3.47160430395195e-12
"52","JAX","precision","modelo_2","profunda","modelo_2","grid",0.791935483870968,0.818032786885246,0.576229508196721,3.50752294116118e-10
"53","NO","precision","modelo_3","profunda","modelo_3","grid",0.846212121212121,0.846212121212121,0.621212121212121,5.22706846894279e-10
"54","NYG","precision","modelo_3","no_profunda","modelo_4","grid",0.745192307692308,0.732692307692308,0.551923076923077,3.83835256742278e-10
"55","PIT","precision","modelo_2","no_profunda","modelo_3","grid",0.820634920634921,0.784920634920635,0.670634920634921,5.79638918231001e-12
"56","SF","precision","modelo_3","no_profunda","modelo_1","grid",0.899019607843137,0.75,0.554901960784314,2.05985388155062e-12
"57","DEN","precision","modelo_3","no_profunda","modelo_3","grid",0.826666666666667,0.784166666666667,0.623333333333333,4.99150945706156e-12
"58","LV","precision","modelo_4","no_profunda","modelo_1","bayesiana",0.786290322580645,0.820491803278689,0.645901639344262,3.2119523301889e-11
"59","GB","precision","modelo_2","profunda","modelo_2","grid",0.845522388059701,0.752238805970149,0.624626865671642,2.8003110560698e-12
"60","BUF","precision","modelo_4","no_profunda","modelo_3","bayesiana",0.674603174603175,0.776984126984127,0.688095238095238,1.28803842476266e-09
"61","PHI","precision","modelo_4","profunda","modelo_3","grid",0.717592592592593,0.751851851851852,0.565740740740741,2.1329392836739e-10
"62","IND","precision","modelo_4","profunda","modelo_2","bayesiana",0.824342105263158,0.774342105263158,0.663157894736842,7.0744148071306e-12
"63","NE","precision","modelo_4","no_profunda","modelo_1","grid",0.775862068965517,0.726724137931035,0.581896551724138,2.15551840952188e-12
"64","TB","precision","modelo_4","profunda","modelo_2","grid",0.842207792207792,0.840909090909091,0.687012987012987,9.94004569542819e-10
"65","LA","precision_secundaria","modelo_3","no_profunda","modelo_2","bayesiana",0.585483870967742,0.488333333333333,0.291666666666667,6.07316595872986e-12
"66","ATL","precision_secundaria","modelo_4","no_profunda","modelo_2","defecto",0.771296296296296,0.735849056603774,0.521698113207547,1.62867608506302e-11
"67","CAR","precision_secundaria","modelo_4","no_profunda","modelo_4","bayesiana",0.575675675675676,0.525,0.3875,1.80389259888615e-11
"68","CHI","precision_secundaria","modelo_4","no_profunda","modelo_3","bayesiana",0.686538461538462,0.657692307692308,0.526923076923077,1.02329306356839e-09
"69","CIN","precision_secundaria","modelo_3","no_profunda","modelo_2","bayesiana",0.724324324324324,0.643243243243243,0.355405405405405,3.54797366115615e-12
"70","DET","precision_secundaria","modelo_4","profunda","modelo_2","bayesiana",0.646052631578947,0.613157894736842,0.401315789473684,8.62905988754241e-10
"71","HOU","precision_secundaria","modelo_3","no_profunda","modelo_2","grid",0.642424242424242,0.654545454545455,0.375757575757576,1.15879770598052e-09
"72","MIA","precision_secundaria","modelo_4","profunda","modelo_3","grid",0.557142857142857,0.647058823529412,0.344117647058824,4.44026140543021e-12
"73","NYJ","precision_secundaria","modelo_3","no_profunda","modelo_2","grid",0.592307692307692,0.698717948717949,0.364102564102564,2.25086694486749e-12
"74","WAS","precision_secundaria","modelo_4","no_profunda","modelo_2","defecto",0.673170731707317,0.658536585365854,0.33780487804878,4.37950372635434e-10
"75","ARI","precision_secundaria","modelo_4","profunda","modelo_3","bayesiana",0.543421052631579,0.498684210526316,0.348684210526316,1.34933360540964e-10
"76","LAC","precision_secundaria","modelo_3","no_profunda","modelo_2","bayesiana",0.620967741935484,0.61,0.305,1.15363697176611e-09
"77","MIN","precision_secundaria","modelo_3","no_profunda","modelo_3","bayesiana",0.555882352941176,0.505882352941176,0.341176470588235,3.88795954330002e-09
"78","TEN","precision_secundaria","modelo_3","profunda","modelo_2","defecto",0.7125,0.75,0.531818181818182,7.72572290552751e-12
"79","DAL","precision_secundaria","modelo_4","no_profunda","modelo_3","bayesiana",0.64125,0.62625,0.4625,3.33279113128163e-09
"80","SEA","precision_secundaria","modelo_3","profunda","modelo_2","bayesiana",0.481428571428571,0.59,0.392857142857143,5.51194627716856e-11
"81","KC","precision_secundaria","modelo_3","no_profunda","modelo_2","defecto",0.683870967741935,0.645161290322581,0.311290322580645,5.47177587520922e-11
"82","BAL","precision_secundaria","modelo_3","no_profunda","modelo_2","bayesiana",0.742222222222222,0.75,0.461111111111111,8.26374862501541e-10
"83","CLE","precision_secundaria","modelo_3","profunda","modelo_3","grid",0.701041666666667,0.661458333333333,0.461458333333333,1.29961636009372e-10
"84","JAX","precision_secundaria","modelo_2","profunda","modelo_2","grid",0.735555555555556,0.753333333333333,0.425555555555556,5.6480451971837e-10
"85","NO","precision_secundaria","modelo_3","profunda","modelo_3","grid",0.73452380952381,0.758333333333333,0.404761904761905,8.81277484644699e-11
"86","NYG","precision_secundaria","modelo_3","no_profunda","modelo_4","grid",0.71875,0.6525,0.4175,2.85328002358329e-12
"87","PIT","precision_secundaria","modelo_2","no_profunda","modelo_3","grid",0.584375,0.5765625,0.3515625,8.56647083305228e-10
"88","SF","precision_secundaria","modelo_3","no_profunda","modelo_1","grid",0.791025641025641,0.664473684210526,0.402631578947368,2.05985388155062e-12
"89","DEN","precision_secundaria","modelo_3","no_profunda","modelo_3","grid",0.6,0.640277777777778,0.372222222222222,4.75336094447004e-11
"90","LV","precision_secundaria","modelo_4","no_profunda","modelo_1","bayesiana",0.540322580645161,0.646774193548387,0.303225806451613,5.04851768175699e-12
"91","GB","precision_secundaria","modelo_2","profunda","modelo_2","grid",0.454878048780488,0.595121951219512,0.386585365853658,1.2571877931704e-10
"92","BUF","precision_secundaria","modelo_4","no_profunda","modelo_3","bayesiana",0.53448275862069,0.51551724137931,0.322413793103448,5.5133683559123e-10
"93","PHI","precision_secundaria","modelo_4","profunda","modelo_3","grid",0.616666666666667,0.702222222222222,0.478888888888889,8.47717039758542e-12
"94","IND","precision_secundaria","modelo_4","profunda","modelo_2","bayesiana",0.517105263157895,0.548684210526316,0.326315789473684,5.57193272855267e-10
"95","NE","precision_secundaria","modelo_4","no_profunda","modelo_1","grid",0.711111111111111,0.639772727272727,0.448863636363636,1.95798661203944e-12
"96","TB","precision_secundaria","modelo_4","profunda","modelo_2","grid",0.571212121212121,0.628787878787879,0.26969696969697,1.58627041382002e-11
